F1,F2,aiueo
1039.0625,1691.40625,1
945.3125,1691.40625,1
1000,1613.28125,1
933.59375,1652.34375,1
906.25,1527.34375,1
910.15625,1449.21875,1
957.03125,1566.40625,1
917.96875,1644.53125,1
957.03125,1472.65625,1
1078.125,1476.5625,1
953.125,1480.46875,1
937.5,1550.78125,1
906.25,1496.09375,1
941.40625,1449.21875,1
898.4375,1492.1875,1
914.0625,1476.5625,1
957.03125,1410.15625,1
906.25,1421.875,1
1039.0625,1464.84375,1
902.34375,1328.125,1
757.8125,1464.84375,1
726.5625,1429.6875,1
875,1351.5625,1
894.53125,1371.09375,1
941.40625,1410.15625,1
917.96875,1402.34375,1
941.40625,1406.25,1
890.625,1328.125,1
925.78125,1332.03125,1
937.5,1554.6875,1
964.84375,1484.375,1
960.9375,1500,1
996.09375,1445.3125,1
875,1207.03125,1
925.78125,1414.0625,1
917.96875,1367.1875,1
980.46875,1429.6875,1
914.0625,1445.3125,1
933.59375,1585.9375,1
910.15625,1562.5,1
906.25,1570.3125,1
957.03125,1503.90625,1
964.84375,1597.65625,1
933.59375,1601.5625,1
960.9375,1574.21875,1
921.875,1527.34375,1
921.875,1523.4375,1
902.34375,1433.59375,1
964.84375,1425.78125,1
957.03125,1386.71875,1
1062.5,1660.15625,1
933.59375,1726.5625,1
1000,1656.25,1
949.21875,1351.5625,1
929.6875,1265.625,1
921.875,1421.875,1
945.3125,1437.5,1
964.84375,1546.875,1
933.59375,1492.1875,1
925.78125,1628.90625,1
1035.15625,1742.1875,1
1000,1355.46875,1
1039.0625,1453.125,1
988.28125,1472.65625,1
988.28125,1421.875,1
984.375,1519.53125,1
949.21875,1468.75,1
953.125,1503.90625,1
1000,1667.96875,1
906.25,1664.0625,1
925.78125,1250,1
945.3125,1488.28125,1
902.34375,1589.84375,1
832.03125,1601.5625,1
886.71875,1582.03125,1
855.46875,1417.96875,1
910.15625,1445.3125,1
894.53125,1417.96875,1
1011.71875,1449.21875,1
906.25,1375,1
863.28125,1429.6875,1
882.8125,1398.4375,1
976.5625,1484.375,1
1039.0625,1484.375,1
937.5,1414.0625,1
945.3125,1421.875,1
941.40625,1421.875,1
906.25,1417.96875,1
929.6875,1449.21875,1
882.8125,1390.625,1
953.125,1410.15625,1
898.4375,1371.09375,1
964.84375,1703.125,1
921.875,1730.46875,1
910.15625,1683.59375,1
902.34375,1375,1
921.875,1542.96875,1
886.71875,1683.59375,1
910.15625,1269.53125,1
937.5,1582.03125,1
889.0625,1541.40625,1
795.3125,1541.40625,1
850,1463.28125,1
783.59375,1502.34375,1
756.25,1377.34375,1
760.15625,1299.21875,1
807.03125,1416.40625,1
767.96875,1494.53125,1
807.03125,1322.65625,1
928.125,1326.5625,1
803.125,1330.46875,1
787.5,1400.78125,1
756.25,1346.09375,1
791.40625,1299.21875,1
748.4375,1342.1875,1
764.0625,1326.5625,1
807.03125,1260.15625,1
756.25,1271.875,1
889.0625,1314.84375,1
